ID,City,Prefecture,Date,Species,Susceptibles,Cases,Deaths,Geo_Lookup,Latitude,Longitude
18.19,Mino,Gifu,2019-02-25,Wild boar:Sus scrofa(Suidae),0,1,0,Mino Gifu,35.5442619,136.9075182
18.20,Gifu,Gifu,2019-02-25,Wild boar:Sus scrofa(Suidae),0,2,0,Gifu Gifu,35.4230949,136.7627526
18.21,Kawabe,Gifu,2019-02-25,Wild boar:Sus scrofa(Suidae),0,1,0,Kawabe Gifu,35.4865125,137.0681577
19.1,Kawabe,Gifu,2019-02-27,Wild boar:Sus scrofa(Suidae),0,1,0,Kawabe Gifu,35.4865125,137.0681577
19.2,Minokamo,Gifu,2019-02-27,Wild boar:Sus scrofa(Suidae),0,1,1,Minokamo Gifu,35.4406551,137.0155052
19.3,Mino,Gifu,2019-02-27,Wild boar:Sus scrofa(Suidae),0,1,1,Mino Gifu,35.5442619,136.9075182
19.4,Seki,Gifu,2019-02-27,Wild boar:Sus scrofa(Suidae),0,1,0,Seki Gifu,35.4958031,136.9181482
19.5,Mizunami,Gifu,2019-02-28,Wild boar:Sus scrofa(Suidae),0,1,1,Mizunami Gifu,35.3619929,137.2541668
19.6,Yamagata,Gifu,2019-03-01,Wild boar:Sus scrofa(Suidae),0,1,0,Yamagata Gifu,35.4094858,136.7569769
19.7,Kawabe,Gifu,2019-03-01,Wild boar:Sus scrofa(Suidae),0,2,0,Kawabe Gifu,35.4865125,137.0681577
19.8,Ena,Gifu,2019-03-02,Wild boar:Sus scrofa(Suidae),0,1,1,Ena Gifu,35.4498094,137.4128269
19.9,Inuyama,Aichi,2019-03-03,Wild boar:Sus scrofa(Suidae),0,1,0,Inuyama Aichi,35.360969,136.984018
19.10,Yamagata,Gifu,2019-03-06,Swine,1507,8,0,Yamagata Gifu,35.4094858,136.7569769
20.1,Yaotsu,Gifu,2019-03-06,Wild boar:Sus scrofa(Suidae),0,1,0,Yaotsu Gifu,35.4755935,137.141068
20.2,Kani,Gifu,2019-03-06,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
20.3,Yamagata,Gifu,2019-03-06,Wild boar:Sus scrofa(Suidae),0,1,0,Yamagata Gifu,35.4094858,136.7569769
20.4,Tajimi,Gifu,2019-03-08,Wild boar:Sus scrofa(Suidae),0,1,1,Tajimi Gifu,35.3357572,137.127762
20.5,Minokamo,Gifu,2019-03-10,Wild boar:Sus scrofa(Suidae),0,1,1,Minokamo Gifu,35.4406551,137.0155052
20.6,Tajimi,Gifu,2019-03-11,Wild boar:Sus scrofa(Suidae),0,1,1,Tajimi Gifu,35.3357572,137.127762
20.7,Sakahogi,Gifu,2019-03-12,Wild boar:Sus scrofa(Suidae),0,1,0,Sakahogi Gifu,35.4299044,136.9784989
20.8,Yaotsu,Gifu,2019-03-12,Wild boar:Sus scrofa(Suidae),0,1,1,Yaotsu Gifu,35.4755935,137.141068
20.9,Kani,Gifu,2019-03-12,Wild boar:Sus scrofa(Suidae),0,1,1,Kani Gifu,35.4261093,137.0613166
21.1,Kasugai,Aichi,2019-03-09,Wild boar:Sus scrofa(Suidae),0,1,1,Kasugai Aichi,35.273804,137.007459
21.2,Kani,Gifu,2019-03-14,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
21.3,Ena,Gifu,2019-03-16,Wild boar:Sus scrofa(Suidae),0,2,2,Ena Gifu,35.4498094,137.4128269
21.4,Yamagata,Gifu,2019-03-18,Wild boar:Sus scrofa(Suidae),0,1,1,Yamagata Gifu,35.4094858,136.7569769
21.5,Mizunami,Gifu,2019-03-18,Wild boar:Sus scrofa(Suidae),0,1,1,Mizunami Gifu,35.3619929,137.2541668
21.6,Yaotsu,Gifu,2019-03-19,Wild boar:Sus scrofa(Suidae),0,1,1,Yaotsu Gifu,35.4755935,137.141068
21.7,Minokamo,Gifu,2019-03-20,Wild boar:Sus scrofa(Suidae),0,1,1,Minokamo Gifu,35.4406551,137.0155052
21.8,Ena,Gifu,2019-03-20,Wild boar:Sus scrofa(Suidae),0,1,1,Ena Gifu,35.4498094,137.4128269
21.9,Tajimi,Gifu,2019-03-20,Wild boar:Sus scrofa(Suidae),0,1,1,Tajimi Gifu,35.3357572,137.127762
21.10,Gifu,Gifu,2019-03-20,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
21.11,Mizunami,Gifu,2019-03-22,Wild boar:Sus scrofa(Suidae),0,2,2,Mizunami Gifu,35.3619929,137.2541668
21.12,Ena,Gifu,2019-03-22,Wild boar:Sus scrofa(Suidae),0,1,1,Ena Gifu,35.4498094,137.4128269
21.13,Yamagata,Gifu,2019-03-22,Swine,3637,17,0,Yamagata Gifu,35.4094858,136.7569769
22.1,Shirakawa,Gifu,2019-03-23,Wild boar:Sus scrofa(Suidae),0,1,1,Shirakawa Gifu,35.5808397,137.1895472
22.2,Ena,Gifu,2019-03-23,Wild boar:Sus scrofa(Suidae),0,1,1,Ena Gifu,35.4498094,137.4128269
22.3,Kani,Gifu,2019-03-24,Wild boar:Sus scrofa(Suidae),0,1,1,Kani Gifu,35.4261093,137.0613166
22.4,Kani,Gifu,2019-03-25,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
22.5,Ena,Gifu,2019-03-25,Wild boar:Sus scrofa(Suidae),0,2,2,Ena Gifu,35.4498094,137.4128269
22.6,Hichiso,Gifu,2019-03-26,Wild boar:Sus scrofa(Suidae),0,1,1,Hichiso Gifu,35.5425778,137.1198518
22.7,Kani,Gifu,2019-03-26,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
22.8,Seto,Aichi,2019-03-26,Swine,4131,0,0,Seto Aichi,35.240984,137.116187
22.9,Tahara,Aichi,2019-03-27,Swine,1647,0,0,Tahara Aichi,34.639112,137.183207
22.10,Kani,Gifu,2019-03-27,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
22.11,Gujo,Gifu,2019-03-27,Wild boar:Sus scrofa(Suidae),0,1,1,Gujo Gifu,35.748417,136.9643095
22.12,Kawabe,Gifu,2019-03-27,Wild boar:Sus scrofa(Suidae),0,1,0,Kawabe Gifu,35.4865125,137.0681577
22.13,Kani,Gifu,2019-03-28,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
22.14,Seto,Aichi,2019-03-28,Swine,1441,0,0,Seto Aichi,35.240984,137.116187
22.15,Tahara,Aichi,2019-03-28,Swine,5972,0,0,Tahara Aichi,34.639112,137.183207
